wh_id,bldg_id,search_path_typ,arecod,lodlvl,uomcod,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,prtfam,inv_attr_str1,dstare
SGDC,Greenwich,RPL,LQRR,L,,sysdate,sysdate,SAMNI,SAMNI,,,TOBD
SGDC,Greenwich,RPL,LQRR,S,,sysdate,sysdate,SAMNI,SAMNI,,,TOBDC
SGDC,Greenwich,RPL,WINR,L,,sysdate,sysdate,SAMNI,SAMNI,,,TOBD
SGDC,Greenwich,RPL,WINR,S,,sysdate,sysdate,SAMNI,SAMNI,,,TOBDC
SGDC,Greenwich,RPL,TOBR,L,,sysdate,sysdate,SAMNI,SAMNI,,1395,WIND
SGDC,Greenwich,RPL,TOBR,S,,sysdate,sysdate,SAMNI,SAMNI,,1396,WINDC
SGDC,Greenwich,RPL,TOBR,L,,sysdate,sysdate,SAMNI,SAMNI,,1395,VWIND
SGDC,Greenwich,RPL,TOBR,S,,sysdate,sysdate,SAMNI,SAMNI,,1396,VWINDC
SGDC,Greenwich,RPL,LQRR,L,,sysdate,sysdate,SAMNI,SAMNI,,1395,WIND
SGDC,Greenwich,RPL,LQRR,S,,sysdate,sysdate,SAMNI,SAMNI,,1396,WINDC
SGDC,Greenwich,RPL,LQRR,L,,sysdate,sysdate,SAMNI,SAMNI,,1395,VWIND
SGDC,Greenwich,RPL,LQRR,S,,sysdate,sysdate,SAMNI,SAMNI,,1396,VWINDC
SGDC,Greenwich,RPL,TOBR,L,,sysdate,sysdate,SAMNI,SAMNI,,,LQRD
SGDC,Greenwich,RPL,TOBR,S,,sysdate,sysdate,SAMNI,SAMNI,,,LQRDC
SGDC,Greenwich,RPL,TOBR,L,,sysdate,sysdate,SAMNI,SAMNI,,,VLQRD
SGDC,Greenwich,RPL,TOBR,S,,sysdate,sysdate,SAMNI,SAMNI,,,VLQRDC
SGDC,Greenwich,RPL,TOBR,L,,sysdate,sysdate,SAMNI,SAMNI,,,LQRD
SGDC,Greenwich,RPL,TOBR,S,,sysdate,sysdate,SAMNI,SAMNI,,,LQRDC
SGDC,Greenwich,RPL,TOBR,L,,sysdate,sysdate,SAMNI,SAMNI,,,VLQRD
SGDC,Greenwich,RPL,TOBR,S,,sysdate,sysdate,SAMNI,SAMNI,,,VLQRDC
SGDC,Greenwich,RPL,TOBR,L,,sysdate,sysdate,SAMNI,SAMNI,,,LQRD
SGDC,Greenwich,RPL,TOBR,S,,sysdate,sysdate,SAMNI,SAMNI,,,LQRDC
SGDC,Greenwich,RPL,TOBR,L,,sysdate,sysdate,SAMNI,SAMNI,,,VLQRD
SGDC,Greenwich,RPL,TOBR,S,,sysdate,sysdate,SAMNI,SAMNI,,,VLQRDC
SGDC,Greenwich,RPL,WINR,L,,sysdate,sysdate,SAMNI,SAMNI,,,LQRD
SGDC,Greenwich,RPL,WINR,S,,sysdate,sysdate,SAMNI,SAMNI,,,LQRDC
SGDC,Greenwich,RPL,WINR,L,,sysdate,sysdate,SAMNI,SAMNI,,,VLQRD
SGDC,Greenwich,RPL,WINR,S,,sysdate,sysdate,SAMNI,SAMNI,,,VLQRDC
SGDC,Greenwich,RPL,WINR,L,,sysdate,sysdate,SAMNI,SAMNI,,,LQRD
SGDC,Greenwich,RPL,WINR,S,,sysdate,sysdate,SAMNI,SAMNI,,,LQRDC
SGDC,Greenwich,RPL,WINR,L,,sysdate,sysdate,SAMNI,SAMNI,,,VLQRD
SGDC,Greenwich,RPL,WINR,S,,sysdate,sysdate,SAMNI,SAMNI,,,VLQRDC
SGDC,Greenwich,RPL,WINR,L,,sysdate,sysdate,SAMNI,SAMNI,,,LQRD
SGDC,Greenwich,RPL,WINR,S,,sysdate,sysdate,SAMNI,SAMNI,,,LQRDC
SGDC,Greenwich,RPL,WINR,L,,sysdate,sysdate,SAMNI,SAMNI,,,VLQRD
SGDC,Greenwich,RPL,WINR,S,,sysdate,sysdate,SAMNI,SAMNI,,,VLQRDC
